Pregunta,Respuesta,No Respuesta
¿Como se denomina el resultado \n de la multiplicación?,Producto,Suma-División-Resta
¿Quien escribió la Odisea?,Homero,Platón-Sócrates-Aristóteles
¿En qué continente se encuentra Ecuador?,América,Asia-Europa-África
¿Dónde originaron los juegos olímpicos?,Grecia,Egipto-China-India
¿Qué tipo de animal es la ballena?,Mamífero,Pez-Reptil-Anfibio
¿Cuándo acabó la Segunda Guerra Mundial?,1945,1940-1950-1939
¿Quién pintó la última cena?,Leonardo Da Vinci,Michelangelo-Rafael-Donatello
¿Cuál es el océano más grande?,Pacífico,Atlántico-Índico-Ártico
¿En qué año llegó Cristóbal Colón a América?,1492,1500-1600-1700
¿Cuál es el lugar más frío de la tierra?,La Antártida,El Sahara-El Amazonas-El Himalaya
¿Quién es el padre del psicoanálisis?,Sigmund Freud,Carl Jung-Alfred Adler-John Watson
¿En qué se especializa la cartografía?,Ciencia que estudia los mapas,Estudio del clima-Estudio de los océanos-Estudio de los volcanes
¿Cuál es el país más grande del mundo?,Rusia,China-Canadá-Estados Unidos
¿Dónde se encuentra la Torre Eiffel?,Francia,Italia-España-Alemania
¿Qué deporte practica Lionel Messi?,Fútbol,Baloncesto-Tenis-Golf
¿Cuánto es el 50% de 1000?,500,100-250-750
¿Qué país tiene forma de bota?,Italia,España-Grecia-Portugal
¿Cuál es la moneda universal?,El dólar,Euro-Yen-Libra
¿Cuántos años es una década?,10,5-15-20
